file,question_id,stage,skill,issue_type,detail,recommended_fix
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_011efdb103,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_8bdea8ff21,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_f4a3aeddc0,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_0eae97ed2b,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_4c49d02fe2,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_multiplication_division_8d9bf3729c,KS2,multiplication_division,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_168d027f5b,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_multiplication_division_ed8ba926bc,KS2,multiplication_division,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_06a01fb64a,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_multiplication_division_936c3f4573,KS2,multiplication_division,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_5856574536,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_d14047ffd7,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_96cd919aa0,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_f76033940d,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_b1164de764,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_bdf1542a60,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_eecf456740,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_90112ab80d,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_multiplication_division_55b64957c8,KS2,multiplication_division,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_b2a6741c34,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_2a97150163,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_97477b67ed,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_3e857c143e,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_fractions_of_amount_cad5f08279,KS2,fractions_of_amount,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
ALL_merged_deduped.jsonl,ks2_addition_subtraction_04911cd7ad,KS2,addition_subtraction,MISSING_EXPLANATION,rationale/hint field is empty,Add a concise rationale (1-2 sentences) explaining the method.
