category_id,display_name,audience,registry,visible,feature_flag,card_count,image_count,localisation_status,reachable_route,empty_filter_risk,content_status,recommended_action
recall-topic-number,Number,student,recall_cards.json,TRUE,none,20,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,LOW,READY,none
recall-topic-ratioAndProportion,Ratio & Proportion,student,recall_cards.json,TRUE,none,20,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,MEDIUM,READY,none - empty when combined with type=vocabulary; already shows explained empty state
recall-topic-algebra,Algebra,student,recall_cards.json,TRUE,none,20,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,MEDIUM,READY,none - empty when combined with type=meaning or type=realWorldConnection; already shows explained empty state
recall-topic-geometryAndMeasures,Geometry & Measures,student,recall_cards.json,TRUE,none,20,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,LOW,READY,none
recall-topic-statistics,Statistics,student,recall_cards.json,TRUE,none,20,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,LOW,READY,none
recall-topic-probability,Probability,student,recall_cards.json,TRUE,none,20,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,MEDIUM,READY,none - empty when combined with type=meaning; already shows explained empty state
recall-type-formula,Formula,student,recall_cards.json,TRUE,none,42,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,LOW,READY,none
recall-type-strategy,Strategy,student,recall_cards.json,TRUE,none,22,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,LOW,READY,none
recall-type-vocabulary,Vocabulary,student,recall_cards.json,TRUE,none,12,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,MEDIUM,READY,none - empty when combined with topic=ratioAndProportion; already shows explained empty state
recall-type-misconception,Misconception,student,recall_cards.json,TRUE,none,10,0,CHROME_5_CONTENT_2,/math-studio/recall-cards/browse,LOW,READY,none
