file,question_id,stage,skill,issue_type,detail,recommended_fix
ALL_merged_deduped.jsonl,ks4_expand_factorise_8,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt1: ""x**2 -15*x +50"" / opt2: ""x**2 -15*x +50""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_15,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 -13*x +36"" / opt3: ""x**2 -13*x +36""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_17,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt1: ""x**2 +8*x +12"" / opt3: ""x**2 +8*x +12""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_32,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 +10*x +21"" / opt2: ""x**2 +10*x +21""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_34,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 -6*x +5"" / opt1: ""x**2 -6*x +5""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_38,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 +19*x +90"" / opt3: ""x**2 +19*x +90""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_44,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 -4*x -4"" / opt3: ""x**2 -4*x -4""; opt1: ""x**2 -8*x +16"" / opt2: ""x**2 -8*x +16""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_45,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 -6*x -6"" / opt1: ""x**2 -6*x -6""; opt2: ""x**2 -12*x +36"" / opt3: ""x**2 -12*x +36""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_46,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 -6*x -6"" / opt1: ""x**2 -6*x -6""; opt2: ""x**2 -12*x +36"" / opt3: ""x**2 -12*x +36""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_rearrange_formulas_47,KS4,Rearrange formulas,DUPLICATE_OPTIONS,"opt0: ""(y +0)/(-7)"" / opt2: ""(y +0)/(-7)""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_51,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 -5*x +6"" / opt1: ""x**2 -5*x +6""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_62,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 -8*x +0"" / opt2: ""x**2 -8*x +0"" / opt3: ""x**2 -8*x +0""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_63,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt1: ""x**2 -11*x +24"" / opt3: ""x**2 -11*x +24""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
ALL_merged_deduped.jsonl,ks4_expand_factorise_65,KS4,Expand expressions,DUPLICATE_OPTIONS,"opt0: ""x**2 -3*x -3"" / opt2: ""x**2 -3*x -3""; opt1: ""x**2 -6*x +9"" / opt3: ""x**2 -6*x +9""",Remove the ** variant; keep the ^ variant. Replace removed option with a new distinct distractor.
