file,question_id,stage,skill,issue_type,detail,recommended_fix
ALL_merged_deduped.jsonl,ks4_averages_mean_median_e58fb920ee,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 17+5.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_29eec7f7b0,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 12+11.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_54a4707cd2,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 8+4.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_a364e295d7,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 15+10.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_b30c80ee51,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 9+7.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_dbf26dccbd,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+5.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_02a96633d0,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 15+18.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_809221f2e6,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 12+8.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_a780975378,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 19+7.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5bdd1696df,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+3.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_10e56ce746,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 18+8.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_f4cdb01002,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 16+11.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_ed4ae91815,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 20+11.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_baeee5145a,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 13+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_299ae629b3,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 7+9.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_97fbaf5bc2,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 19+14.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_8f69162019,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 12+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_98f1b79663,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+9.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0e13644ead,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 19+10.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_ae69c89a2b,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 3+18.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_edaf888018,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 7+18.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_13f8169eb9,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 7+3.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_94ebf0d0e3,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 3+20.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_f954fa3115,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 9+11.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_fd35a11934,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 10+16.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_d43102cd74,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+18.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_bb6ae91237,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 9+10.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_ff16069931,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 6+17.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_21bfb196f6,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 3+3.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_4a7969d25e,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 16+4.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_48a3cd039a,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 13+6.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_d3107a7c8a,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 9+2.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_7754fb30d2,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 11+2.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_34fefa25fe,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 8+14.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_7ca80a82e9,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 16+19.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_58331ee58c,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 5+12.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_66d56a6c03,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 13+16.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3df183b0d2,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 13+9.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_5788f6583c,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 10+18.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
ALL_merged_deduped.jsonl,ks4_averages_mean_median_18dc6834a4,KS4,Averages,PLACEHOLDER_QUESTION,"Placeholder ""Compute N+M"" stub under skill: Averages | stem: ""[Averages] Compute 13+7.""",Replace with a real question matching the skill label (e.g. circumference/area of a circle using pi).
