file,question_id,stage,skill,issue_type,detail,recommended_fix
ALL_merged_deduped.jsonl,ks4_expand_factorise_5,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +3)(x -9)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_8,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -5)(x -10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_12,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -9)(x +6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_15,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -9)(x -4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_17,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +6)(x +2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_23,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +1)(x -2)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_24,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -9)(x +9)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_25,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -6)(x +4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_26,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +4)(x -1)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_29,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +2)(x -1)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_32,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +7)(x +3)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_34,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -5)(x -1)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_38,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +9)(x +10)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_39,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -6)(x +5)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_42,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x +6)(x -8)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_44,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -4)(x -4)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
ALL_merged_deduped.jsonl,ks4_expand_factorise_45,KS4,Expand expressions,PYTHON_EXPONENT,"** found in: opt0, opt1, opt2, opt3 — stem: ""Expand and simplify: (x -6)(x -6)""",Replace ** with ^ in stem; replace x**n with x^n in options. Deduplicate options where both notations appear.
