file,question_id,action,status,detail,options_before,options_after,answer_index_before,answer_index_after
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0063f44ecc,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""11"", ""8"", ""9"", ""10""]","[""11"", ""8"", ""9"", ""10""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_00f381ce61,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""26"", ""23"", ""24"", ""25""]","[""26"", ""23"", ""24"", ""25""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_01530b757f,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""21"", ""19"", ""18""]","[""20"", ""21"", ""19"", ""18""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0157d1a3b5,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""17"", ""18"", ""20"", ""19""]","[""17"", ""18"", ""20"", ""19""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_01bbb1f66c,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""24"", ""25"", ""26""]","[""23"", ""24"", ""25"", ""26""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_02020f8f68,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""26"", ""25"", ""24"", ""23""]","[""26"", ""25"", ""24"", ""23""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0209f83a7f,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""23"", ""25"", ""24"", ""22""]","[""23"", ""25"", ""24"", ""22""]",0,0
ALL_merged_deduped.jsonl,ks4_averages_mean_median_025b6048c8,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""15"", ""14"", ""12"", ""13""]","[""15"", ""14"", ""12"", ""13""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0286f740c1,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""21"", ""22"", ""20"", ""19""]","[""21"", ""22"", ""20"", ""19""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_02a96633d0,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""35"", ""32"", ""34"", ""33""]","[""35"", ""32"", ""34"", ""33""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_02e5699b89,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""20"", ""22"", ""21"", ""23""]","[""20"", ""22"", ""21"", ""23""]",2,2
ALL_merged_deduped.jsonl,ks4_averages_mean_median_03b9eefcf8,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""19"", ""21"", ""20""]","[""22"", ""19"", ""21"", ""20""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_04994b34de,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""22"", ""21"", ""20"", ""23""]","[""22"", ""21"", ""20"", ""23""]",1,1
ALL_merged_deduped.jsonl,ks4_averages_mean_median_05b2c1a694,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""17"", ""15"", ""18"", ""16""]","[""17"", ""15"", ""18"", ""16""]",3,3
ALL_merged_deduped.jsonl,ks4_averages_mean_median_05b845d310,export_placeholder_for_regeneration,EXPORTED,question bank record left unchanged,"[""13"", ""11"", ""14"", ""12""]","[""13"", ""11"", ""14"", ""12""]",3,3
