file,question_id,stage,skill,issue_types,issue_count,requires_manual_content,recommended_phase
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0063f44ecc,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_00f381ce61,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_01530b757f,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0157d1a3b5,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_01bbb1f66c,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_02020f8f68,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0209f83a7f,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_025b6048c8,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_0286f740c1,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_02a96633d0,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_02e5699b89,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_03b9eefcf8,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_04994b34de,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
